"","total_vaccinated","people_vaccinated","people_fully_vaccinated","maTotal","maPeople_vaccinated","maPeople_fully_vaccinated","date"
"173",12744,6492,6252,28522,12669.1428571429,15852.8571428571,2021-10-04
"174",20167,9898,10269,24678,9028.14285714286,15649.8571428571,2021-10-05
"175",0,0,0,24678,9028.14285714286,15649.8571428571,2021-10-06
"176",54802,16709,38093,17885.2857142857,6439.57142857143,11445.7142857143,2021-10-07
"177",37484,11978,25506,23637,7353.57142857143,16283.4285714286,2021-10-08
"178",0,0,0,26055.2857142857,7430.28571428571,18625,2021-10-09
"179",0,0,0,32893.1428571429,8753.28571428571,24139.8571428571,2021-10-10
"180",53006,12890,40116,33575.1428571429,8025.57142857143,25549.5714285714,2021-10-11
"181",37095,10435,26660,28220.2857142857,6314.42857142857,21905.8571428571,2021-10-12
"182",47865,9261,38604,46692.7142857143,9384.57142857143,37308.1428571429,2021-10-13
"183",59576,11615,47961,52870.7142857143,10437.4285714286,42433.2857142857,2021-10-14
"184",0,0,0,45298.4285714286,8596,36702.4285714286,2021-10-15
"185",129307,21491,107816,55114.4285714286,9492,45622.4285714286,2021-10-16
"186",43246,7370,35876,48276.5714285714,8169,40107.5714285714,2021-10-17
"187",0,0,0,39765.7142857143,6509.71428571429,33256,2021-10-18
"188",105807,16707,89100,63219.7142857143,12421.4285714286,50798.2857142857,2021-10-19
"189",0,0,0,44747.2857142857,9351.28571428571,35396,2021-10-20
"190",0,0,0,45885.2857142857,10790,35095.2857142857,2021-10-21
"191",164178,41382,122796,46369.2857142857,10913,35456.2857142857,2021-10-22
"192",0,0,0,34377,9568.85714285714,24808.1428571429,2021-10-23
"193",51212,17441,33771,45117.8571428571,16461.2857142857,28656.5714285714,2021-10-24
"194",3388,861,2527,50109,18771.1428571429,31337.8571428571,2021-10-25
"195",21861,7298,14563,32145,15416.1428571429,16728.8571428571,2021-10-26
"196",75186,48247,26939,37245.2857142857,17571.1428571429,19674.1428571429,2021-10-27
"197",34938,16169,18769,31339.7142857143,15790,15549.7142857143,2021-10-28
"198",38430,17897,20533,32024.8571428571,16500.2857142857,15524.5714285714,2021-10-29
"199",35702,15085,20617,30888.4285714286,16839.7142857143,14048.7142857143,2021-10-30
"200",9873,4973,4900,25308.7142857143,12704.4285714286,12604.2857142857,2021-10-31
"201",8184,5833,2351,22659.7142857143,11982.4285714286,10677.2857142857,2021-11-01
"202",13906,9674,4232,17169.7142857143,9425.71428571429,7744,2021-11-02
"203",36128,19300,16828,12069.4285714286,7270.71428571429,4798.71428571429,2021-11-03
"204",16395,11115,5280,19338.5714285714,12410.7142857143,6927.85714285714,2021-11-04
"205",0,0,0,20115.1428571429,12775,7340.14285714286,2021-11-05
"206",0,0,0,18128.5714285714,11393,6735.57142857143,2021-11-06
"207",60757,40953,19804,12967.4285714286,8635.85714285714,4331.57142857143,2021-11-07
"208",13620,8383,5237,10625.2857142857,7048,3577.28571428571,2021-11-08
"209",0,0,0,34647.2857142857,21775.7142857143,12871.5714285714,2021-11-09
"210",0,0,0,34647.2857142857,21775.7142857143,12871.5714285714,2021-11-10
"211",0,0,0,25967.7142857143,15925.2857142857,10042.4285714286,2021-11-11
"212",168154,103094,65060,37291.7142857143,22322.4285714286,14969.2857142857,2021-11-12
"213",0,0,0,42719.7142857143,25798.4285714286,16921.2857142857,2021-11-13
"214",0,0,0,47433.7142857143,28820.7142857143,18613,2021-11-14
"215",92888,53163,39725,47433.7142857143,28820.7142857143,18613,2021-11-15
"216",37996,24332,13664,33381.4285714286,20543.4285714286,12838,2021-11-16
"217",32998,21156,11842,33381.4285714286,20543.4285714286,12838,2021-11-17
"218",0,0,0,33381.4285714286,20543.4285714286,12838,2021-11-18
"219",69788,45153,24635,20111.7142857143,12948.7142857143,7163,2021-11-19
"220",0,0,0,29090.1428571429,18487.7142857143,10602.4285714286,2021-11-20
"221",0,0,0,30727.8571428571,20236.4285714286,10491.4285714286,2021-11-21
"222",0,0,0,38565.8571428571,25476,13089.8571428571,2021-11-22
"223",100845,63105,37740,34575,22913.8571428571,11661.1428571429,2021-11-23
"224",44462,33397,11065,34575,22913.8571428571,11661.1428571429,2021-11-24
"225",54866,36677,18189,46584.4285714286,31333.7142857143,15250.7142857143,2021-11-25
"226",41852,27218,14634,50954.4285714286,34685.5714285714,16268.8571428571,2021-11-26
"227",0,0,0,43408,30081.8571428571,13326.1428571429,2021-11-27
"228",84066,58939,25127,43166.8571428571,29678,13488.8571428571,2021-11-28
"229",30590,23463,7127,43681.4285714286,30115.4285714286,13566,2021-11-29
"230",48020,30879,17141,42435.7142857143,29729.4285714286,12706.2857142857,2021-11-30
"231",42774,30570,12204,42435.7142857143,29729.4285714286,12706.2857142857,2021-12-01
